Function                                  CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module             Function (Full)                                 Source File           Start Address
H5HF_dtable_lookup                          0.160s                   0.160s                            0s                        0.160s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5HF_dtable_lookup                              H5HFdtable.c          0x2f7e83     
H5E_clear_stack                             0.160s                   0.160s                            0s                        0.160s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5E_clear_stack                                 H5Eint.c              0x1d8506     
H5_trace                                    0.160s                   0.160s                            0s                        0.160s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5_trace                                        H5trace.c             0x5891a      
H5C_mark_entry_dirty                        0.150s                   0.150s                            0s                        0.150s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5C_mark_entry_dirty                            H5C.c                 0xcfb9d      
__strcpy_sse2_unaligned                     0.150s                   0.150s                            0s                        0.150s                          0s                             0s                            0s                  0s                      0s  libc.so.6          __strcpy_sse2_unaligned                         [Unknown]             0x9a6e0      
H5SL_item                                   0.140s                   0.140s                            0s                        0.140s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_item                                       H5SL.c                0x52cc11     
H5O_msg_exists_oh                           0.140s                   0.140s                            0s                        0.140s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_msg_exists_oh                               H5Omessage.c          0x3f0050     
H5O_msg_is_shared                           0.140s                   0.140s                            0s                        0.140s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_msg_is_shared                               H5Omessage.c          0x3f2d7a     
H5C_get_ignore_tags                         0.140s                   0.140s                            0s                        0.140s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5C_get_ignore_tags                             H5Ctag.c              0x11ee4f     
H5F_addr_decode_len                         0.140s                   0.140s                            0s                        0.140s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5F_addr_decode_len                             H5Fint.c              0x21c6a6     
H5P_close                                   0.140s                   0.140s                            0s                        0.140s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5P_close                                       H5Pint.c              0x476314     
H5FS__sect_find_node                        0.140s                   0.140s                            0s                        0.140s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FS__sect_find_node                            H5FSsection.c         0x290b96     
H5RS_dup                                    0.130s                   0.130s                            0s                        0.130s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5RS_dup                                        H5RS.c                0x4b0798     
H5I_object_verify                           0.130s                   0.130s                            0s                        0.130s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5I_object_verify                               H5I.c                 0x33fcca     
H5F_get_intent                              0.130s                   0.130s                            0s                        0.130s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5F_get_intent                                  H5Fquery.c            0x226bb8     
H5SL_new_node                               0.130s                   0.130s                            0s                        0.130s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_new_node                                   H5SL.c                0x5079a0     
H5O__msg_iterate_real                       0.130s                   0.130s                            0s                        0.130s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O__msg_iterate_real                           H5Omessage.c          0x3f16c7     
H5O__attr_create                            0.130s                   0.130s                            0s                        0.130s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O__attr_create                                H5Oattribute.c        0x397ffb     
H5G_name_free                               0.130s                   0.130s                        0.010s                        0.120s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5G_name_free                                   H5Gname.c             0x2baf07     
H5CX__push_common                           0.130s                   0.130s                            0s                        0.130s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5CX__push_common                               H5CX.c                0x123881     
H5C__untag_entry                            0.130s                   0.130s                            0s                        0.130s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5C__untag_entry                                H5Ctag.c              0x11f6c5     
H5C__generate_image                         0.120s                   0.120s                            0s                        0.120s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5C__generate_image                             H5C.c                 0xf04b5      
H5AC_mark_entry_dirty                       0.120s                   0.120s                            0s                        0.120s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5AC_mark_entry_dirty                           H5AC.c                0x8b251      
sprintf                                     0.120s                   0.120s                            0s                        0.120s                          0s                             0s                            0s                  0s                      0s  libc.so.6          sprintf                                         [Unknown]             0x53550      
H5C__unpin_entry_real                       0.120s                   0.120s                            0s                        0.120s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5C__unpin_entry_real                           H5C.c                 0xdfba6      
H5T__path_find_real                         0.111s                   0.111s                            0s                        0.111s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5T__path_find_real                             H5T.c                 0x55a64e     
H5I_dec_ref                                 0.110s                   0.110s                            0s                        0.110s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5I_dec_ref                                     H5I.c                 0x341356     
H5CX_pop                                    0.110s                   0.110s                        0.010s                        0.100s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5CX_pop                                        H5CX.c                0x12c15f     
H5O__remove_empty_chunks                    0.110s                   0.110s                            0s                        0.110s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O__remove_empty_chunks                        H5Oalloc.c            0x390cb8     
H5S__extent_copy_real                       0.110s                   0.110s                            0s                        0.110s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S__extent_copy_real                           H5S.c                 0x4b37a9     
H5A__dense_btree2_name_compare              0.110s                   0.110s                            0s                        0.110s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5A__dense_btree2_name_compare                  H5Abtree2.c           0x6e7b9      
H5T                                         0.110s                   0.110s                            0s                        0.110s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5T(float, long double, ..., ...)               H5T.c                 0x556bc1     
H5A__attr_cmp_name_inc                      0.110s                   0.110s                            0s                        0.110s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5A__attr_cmp_name_inc                          H5Aint.c              0x82611      
H5A__get_ainfo                              0.110s                   0.110s                            0s                        0.110s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5A__get_ainfo                                  H5Aint.c              0x83a3a      
H5A__close                                  0.110s                   0.110s                            0s                        0.110s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5A__close                                      H5Aint.c              0x805ef      
H5O_sdspace_encode                          0.110s                   0.110s                            0s                        0.110s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_sdspace_encode                              H5Osdspace.c          0x3ff6c4     
H5C_destroy_flush_dependency                0.110s                   0.110s                            0s                        0.110s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5C_destroy_flush_dependency                    H5C.c                 0xdef06      
H5O_loc_reset                               0.110s                   0.110s                            0s                        0.110s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_loc_reset                                   H5Oint.c              0x3db3dd     
H5SL_next                                   0.110s                   0.110s                            0s                        0.110s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_next                                       H5SL.c                0x52c83c     
