Function                              CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module             Function (Full)                                 Source File           Start Address
H5O__chunk_protect                      0.150s                   0.150s                            0s                        0.150s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O__chunk_protect                              H5Ochunk.c            0x3ab051     
H5SL_insert                             0.140s                   0.140s                        0.010s                        0.130s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_insert                                     H5SL.c                0x50e932     
H5CX_set_vol_wrap_ctx                   0.140s                   0.140s                            0s                        0.140s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5CX_set_vol_wrap_ctx                           H5CX.c                0x125edb     
__strlen_sse2_pminub                    0.140s                   0.140s                        0.010s                        0.130s                          0s                             0s                            0s                  0s                      0s  libc.so.6          __strlen_sse2_pminub                            [Unknown]             0x16f680     
H5F_get_intent                          0.140s                   0.140s                            0s                        0.140s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5F_get_intent                                  H5Fquery.c            0x226bb8     
H5CX_push                               0.130s                   0.130s                            0s                        0.130s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5CX_push                                       H5CX.c                0x123b4f     
H5SL_greater                            0.130s                   0.130s                            0s                        0.130s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_greater                                    H5SL.c                0x52647f     
H5I_object_verify                       0.130s                   0.130s                            0s                        0.130s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5I_object_verify                               H5I.c                 0x33fcca     
H5I_dec_ref                             0.130s                   0.130s                            0s                        0.130s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5I_dec_ref                                     H5I.c                 0x341356     
H5O__alloc_extend_chunk                 0.130s                   0.130s                            0s                        0.130s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O__alloc_extend_chunk                         H5Oalloc.c            0x388885     
H5G__traverse_real                      0.130s                   0.130s                            0s                        0.130s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5G__traverse_real                              H5Gtraverse.c         0x2d58e5     
H5O_msg_reset_share                     0.120s                   0.120s                            0s                        0.120s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_msg_reset_share                             H5Omessage.c          0x3f32ce     
H5F_addr_encode_len                     0.120s                   0.120s                        0.010s                        0.110s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5F_addr_encode_len                             H5Fint.c              0x21c3b3     
H5A__compact_build_table_cb             0.120s                   0.120s                            0s                        0.120s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5A__compact_build_table_cb                     H5Aint.c              0x81339      
H5VL_reset_vol_wrapper                  0.120s                   0.120s                            0s                        0.120s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5VL_reset_vol_wrapper                          H5VLint.c             0x6b1fda     
H5O__attr_create                        0.120s                   0.120s                            0s                        0.120s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O__attr_create                                H5Oattribute.c        0x397ffb     
H5FL_arr_free                           0.120s                   0.120s                            0s                        0.120s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_arr_free                                   H5FL.c                0x27880d     
H5S__extent_copy_real                   0.120s                   0.120s                            0s                        0.120s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S__extent_copy_real                           H5S.c                 0x4b37a9     
H5O__alloc_find_best_nonnull            0.110s                   0.110s                            0s                        0.110s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O__alloc_find_best_nonnull                    H5Oalloc.c            0x38a036     
H5T__conv_vlen                          0.110s                   0.110s                            0s                        0.110s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5T__conv_vlen                                  H5Tconv.c             0x577c02     
H5I_register                            0.110s                   0.110s                            0s                        0.110s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5I_register                                    H5I.c                 0x33eda7     
H5DSattach_scale                        0.110s                   0.110s                            0s                        0.110s                          0s                             0s                            0s                  0s                      0s  libhdf5_hl.so.200  H5DSattach_scale                                H5DS.c                0x6c69       
H5O__obj_class_real                     0.110s                   0.110s                            0s                        0.110s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O__obj_class_real                             H5Oint.c              0x3dacd4     
H5CX__pop_common                        0.110s                   0.110s                            0s                        0.110s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5CX__pop_common                                H5CX.c                0x12bf01     
H5P_close                               0.110s                   0.110s                            0s                        0.110s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5P_close                                       H5Pint.c              0x476314     
H5SL_item                               0.110s                   0.110s                            0s                        0.110s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_item                                       H5SL.c                0x52cc11     
H5T_close_real                          0.110s                   0.110s                            0s                        0.110s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5T_close_real                                  H5T.c                 0x5571a5     
H5G_name_free                           0.110s                   0.110s                        0.010s                        0.100s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5G_name_free                                   H5Gname.c             0x2baf07     
H5VL__conn_dec_rc                       0.110s                   0.110s                            0s                        0.110s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5VL__conn_dec_rc                               H5VLint.c             0x6abc45     
nc_unsafe_get_property                  0.100s                   0.100s                            0s                        0.100s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18    nc_unsafe_get_property                          [Unknown]             0x45aff      
H5Tclose                                0.100s                   0.100s                            0s                        0.100s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5Tclose                                        H5T.c                 0x54be4a     
H5I_object                              0.100s                   0.100s                            0s                        0.100s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5I_object                                      H5I.c                 0x33f7e6     
NC_hashmapfree                          0.100s                   0.100s                        0.010s                        0.090s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18    NC_hashmapfree                                  [Unknown]             0x3b092      
H5SL_first                              0.100s                   0.100s                            0s                        0.100s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_first                                      H5SL.c                0x52c700     
H5C_get_ignore_tags                     0.100s                   0.100s                            0s                        0.100s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5C_get_ignore_tags                             H5Ctag.c              0x11ee4f     
