Function                                     CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module           Function (Full)                                       Source File           Start Address
func@0x24de0                                   0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18  func@0x24de0                                          [Unknown]             0x24de0      
H5B2__locate_record                            0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5B2__locate_record                                   H5B2int.c             0xb1d2e      
crc32_z                                        0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18  crc32_z                                               [Unknown]             0x41729      
H5P__get_cb                                    0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5P__get_cb                                           H5Pint.c              0x473d78     
__memset_sse2                                  0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libc.so.6        __memset_sse2                                         [Unknown]             0x8f970      
H5P__create                                    0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5P__create                                           H5Pint.c              0x46baf1     
H5D__update_oh_info                            0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5D__update_oh_info                                   H5Dint.c              0x184ce4     
H5SL_below                                     0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5SL_below                                            H5SL.c                0x5295c7     
H5_trace                                       0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5_trace                                              H5trace.c             0x5891a      
H5T__path_find_real                            0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5T__path_find_real                                   H5T.c                 0x55a64e     
H5I_register                                   0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5I_register                                          H5I.c                 0x33eda7     
H5O__layout_copy                               0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5O__layout_copy                                      H5Olayout.c           0x3e4b21     
H5O_protect                                    0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5O_protect                                           H5Oint.c              0x3d7d24     
H5FL_blk_malloc                                0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FL_blk_malloc                                       H5FL.c                0x27737a     
func@0x50940                                   0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   func@0x50940                                          [Unknown]             0x50940      
H5T__close_cb                                  0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5T__close_cb                                         H5T.c                 0x54adbc     
H5C_flush_dependency_exists                    0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5C_flush_dependency_exists                           H5Cdbg.c              0xf883c      
func@0x50d60                                   0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   func@0x50d60                                          [Unknown]             0x50d60      
H5G_dense_btree2_name_encode                   0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5G_dense_btree2_name_encode                          H5Gbtree2.c           0x29905c     
H5L__link_cb                                   0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5L__link_cb                                          H5L.c                 0x3504e7     
H5G_traverse                                   0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5G_traverse                                          H5Gtraverse.c         0x2d6ef6     
H5O_msg_read                                   0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5O_msg_read                                          H5Omessage.c          0x3eddb8     
H5P_copy_plist                                 0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5P_copy_plist                                        H5Pint.c              0x46862f     
H5P__access_class                              0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5P__access_class                                     H5Pint.c              0x46ae51     
H5D__create                                    0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5D__create                                           H5Dint.c              0x1861a4     
H5O_fill_copy                                  0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5O_fill_copy                                         H5Ofill.c             0x3cc761     
H5E_clear_stack                                0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5E_clear_stack                                       H5Eint.c              0x1d8506     
ncindexnew                                     0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18  ncindexnew                                            [Unknown]             0xe7e43      
H5AC_insert_entry                              0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5AC_insert_entry                                     H5AC.c                0x8aaa2      
__strdup                                       0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libc.so.6        __strdup                                              [Unknown]             0x8cae0      
H5F_get_eoa                                    0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5F_get_eoa                                           H5Fquery.c            0x229c49     
H5G_name_reset                                 0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5G_name_reset                                        H5Gname.c             0x2baded     
H5FL__reg_gc_list                              0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FL__reg_gc_list                                     H5FL.c                0x2764cc     
H5SL_first                                     0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5SL_first                                            H5SL.c                0x52c700     
H5P_get                                        0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5P_get                                               H5Pint.c              0x474213     
H5C_unsettle_ring                              0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5C_unsettle_ring                                     H5C.c                 0xdd3af      
H5I_dec_ref                                    0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5I_dec_ref                                           H5I.c                 0x341356     
H5C__make_space_in_cache                       0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5C__make_space_in_cache                              H5C.c                 0xec709      
H5S_close                                      0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5S_close                                             H5S.c                 0x4b2416     
H5P__dcrt_layout_get                           0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5P__dcrt_layout_get                                  H5Pdcpl.c             0x41a0b2     
func@0x4a780                                   0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   func@0x4a780                                          [Unknown]             0x4a780      
H5O__layout_reset                              0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5O__layout_reset                                     H5Olayout.c           0x3e5335     
H5G_loc_real                                   0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5G_loc_real                                          H5Gloc.c              0x2b4e34     
H5SL_next                                      0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5SL_next                                             H5SL.c                0x52c83c     
H5B2__cache_leaf_notify                        0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5B2__cache_leaf_notify                               H5B2cache.c           0xabec7      
H5HF_close                                     0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5HF_close                                            H5HF.c                0x2da07b     
H5FS__sinfo_serialize_sect_cb                  0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FS__sinfo_serialize_sect_cb                         H5FScache.c           0x288dd8     
NC4_put_vars                                   0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18  NC4_put_vars                                          [Unknown]             0x91a28      
H5C__generate_image                            0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5C__generate_image                                   H5C.c                 0xf04b5      
H5T_is_sensible                                0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5T_is_sensible                                       H5T.c                 0x55d6cd     
H5C_move_entry                                 0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5C_move_entry                                        H5C.c                 0xd1a5b      
H5P_is_fill_value_defined                      0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5P_is_fill_value_defined                             H5Pdcpl.c             0x42af56     
nc4_type_new                                   0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18  nc4_type_new                                          [Unknown]             0xdf0ed      
H5CX_get_vol_wrap_ctx                          0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5CX_get_vol_wrap_ctx                                 H5CX.c                0x126503     
H5HF__cache_verify_hdr_descendants_clean       0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5HF__cache_verify_hdr_descendants_clean              H5HFcache.c           0x2ee884     
H5SL_remove_first                              0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5SL_remove_first                                     H5SL.c                0x5222b3     
H5C_get_entry_status                           0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5C_get_entry_status                                  H5Cquery.c            0x11d847     
H5T_get_size                                   0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5T_get_size                                          H5T.c                 0x5585a2     
H5VL_set_vol_wrapper                           0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5VL_set_vol_wrapper                                  H5VLint.c             0x6b1576     
