Function                             CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module             Function (Full)                                       Source File           Start Address
H5CX_get_vec_size                      0.060s                   0.060s                            0s                        0.060s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5CX_get_vec_size                                     H5CX.c                0x127eea     
dump_file2                             0.060s                   0.060s                            0s                        0.060s                          0s                             0s                            0s                  0s                      0s  lt-tst_files3      dump_file2                                            [Unknown]             0x40127a     
H5S__all_iter_block                    0.060s                   0.060s                            0s                        0.060s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S__all_iter_block                                   H5Sall.c              0x4bb335     
H5D__chunk_cacheable                   0.058s                   0.058s                            0s                        0.058s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5D__chunk_cacheable                                  H5Dchunk.c            0x14b5b7     
H5S_create_simple                      0.050s                   0.050s                            0s                        0.050s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S_create_simple                                     H5S.c                 0x4b78a1     
H5Z_xform_noop                         0.050s                   0.050s                            0s                        0.050s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5Z_xform_noop                                        H5Ztrans.c            0x6fcd43     
NC_check_id                            0.050s                   0.050s                            0s                        0.050s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18    NC_check_id                                           [Unknown]             0x3e9a6      
H5P__do_prop                           0.050s                   0.050s                            0s                        0.050s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5P__do_prop                                          H5Pint.c              0x46d72f     
H5T_get_size                           0.050s                   0.050s                            0s                        0.050s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5T_get_size                                          H5T.c                 0x5585a2     
nc_put_vara_float                      0.050s                   0.050s                            0s                        0.050s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18    nc_put_vara_float                                     [Unknown]             0x34335      
H5I__remove_common                     0.050s                   0.050s                            0s                        0.050s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5I__remove_common                                    H5I.c                 0x340a2e     
H5open                                 0.050s                   0.050s                            0s                        0.050s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5open                                                H5.c                  0x548b1      
H5P_class_isa                          0.050s                   0.050s                            0s                        0.050s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5P_class_isa                                         H5Pint.c              0x472041     
H5SL_count                             0.050s                   0.050s                            0s                        0.050s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_count                                            H5SL.c                0x50e7fd     
H5SL_free                              0.050s                   0.050s                            0s                        0.050s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_free                                             H5SL.c                0x52d00c     
H5Sget_simple_extent_type              0.050s                   0.050s                            0s                        0.050s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5Sget_simple_extent_type                             H5S.c                 0x4b929c     
H5MM__is_our_block                     0.050s                   0.050s                            0s                        0.050s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5MM__is_our_block                                    H5MM.c                0x37265b     
H5D__select_write                      0.050s                   0.050s                            0s                        0.050s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5D__select_write                                     H5Dselect.c           0x1a7329     
H5VL__native_dataset_write             0.050s                   0.050s                            0s                        0.050s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5VL__native_dataset_write                            H5VLnative_dataset.c  0x6b9624     
H5SL_close                             0.050s                   0.050s                            0s                        0.050s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_close                                            H5SL.c                0x52e15c     
H5T_patch_vlen_file                    0.050s                   0.050s                            0s                        0.050s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5T_patch_vlen_file                                   H5T.c                 0x55f32d     
H5SL_create                            0.050s                   0.050s                            0s                        0.050s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_create                                           H5SL.c                0x50e469     
H5D__chunk_unlock                      0.040s                   0.040s                            0s                        0.040s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5D__chunk_unlock                                     H5Dchunk.c            0x1527ac     
H5MM__sanity_check                     0.040s                   0.040s                            0s                        0.040s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5MM__sanity_check                                    H5MM.c                0x37279a     
