Function                                  CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module             Function (Full)                           Source File           Start Address
H5Acreate1                                  0.410s                   0.410s                            0s                        0.410s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5Acreate1                                H5Adeprec.c           0x78ccf      
H5HF_op                                     0.409s                   0.409s                            0s                        0.409s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5HF_op                                   H5HF.c                0x2d978b     
H5SM_try_share                              0.409s                   0.409s                            0s                        0.409s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SM_try_share                            H5SM.c                0x531f49     
H5FS__sect_link                             0.400s                   0.400s                            0s                        0.400s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FS__sect_link                           H5FSsection.c         0x28ed1a     
__memmove_ssse3_back                        0.400s                   0.400s                            0s                        0.400s                          0s                             0s                            0s                  0s                      0s  libc.so.6          __memmove_ssse3_back                      [Unknown]             0x159fe0     
H5Awrite                                    0.400s                   0.400s                            0s                        0.400s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5Awrite                                  H5A.c                 0x6642f      
H5O_msg_is_shared                           0.400s                   0.400s                            0s                        0.400s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_msg_is_shared                         H5Omessage.c          0x3f2d7a     
H5A__get_info                               0.400s                   0.400s                            0s                        0.400s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5A__get_info                             H5Aint.c              0x7f7fa      
H5O_msg_decode                              0.400s                   0.400s                            0s                        0.400s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_msg_decode                            H5Omessage.c          0x3f3a10     
H5O_msg_encode                              0.393s                   0.393s                            0s                        0.393s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_msg_encode                            H5Omessage.c          0x3f3765     
H5F_sizeof_size                             0.391s                   0.391s                            0s                        0.391s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5F_sizeof_size                           H5Fquery.c            0x227cbb     
