Function                                  CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module             Function (Full)                           Source File           Start Address
H5T__alloc                                  0.040s                   0.040s                            0s                        0.040s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5T__alloc                                H5T.c                 0x5567fc     
H5C__flush_single_entry                     0.040s                   0.040s                            0s                        0.040s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5C__flush_single_entry                   H5C.c                 0xe7898      
H5HF_hdr_compute_free_space                 0.040s                   0.040s                            0s                        0.040s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5HF_hdr_compute_free_space               H5HFhdr.c             0x2f8ab8     
H5C_verify_tag                              0.040s                   0.040s                            0s                        0.040s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5C_verify_tag                            H5Ctag.c              0x120f01     
H5T_close_real                              0.040s                   0.040s                            0s                        0.040s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5T_close_real                            H5T.c                 0x5571a5     
H5A__attr_release_table                     0.040s                   0.040s                            0s                        0.040s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5A__attr_release_table                   H5Aint.c              0x836e2      
H5S__extent_release                         0.040s                   0.040s                            0s                        0.040s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S__extent_release                       H5S.c                 0x4b2184     
H5A__shared_free                            0.040s                   0.040s                            0s                        0.040s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5A__shared_free                          H5Aint.c              0x7fe91      
H5FL_blk_find_list                          0.040s                   0.040s                            0s                        0.040s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_blk_find_list                        H5FL.c                0x276cb1     
H5HF__man_op                                0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5HF__man_op                              H5HFman.c             0x310377     
H5HF__man_iblock_protect                    0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5HF__man_iblock_protect                  H5HFiblock.c          0x309065     
H5FL_malloc                                 0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_malloc                               H5FL.c                0x2759ef     
H5O_sdspace_shared_decode                   0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_sdspace_shared_decode                 H5Oshared.h           0x3fd6a9     
H5VM_log2_gen                               0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5VM_log2_gen                             H5VMprivate.h         0x2f7825     
H5A__dense_build_table_cb                   0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5A__dense_build_table_cb                 H5Aint.c              0x81b87      
H5A__copy                                   0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5A__copy                                 H5Aint.c              0x7fa47      
H5O_dtype_shared_decode                     0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_dtype_shared_decode                   H5Oshared.h           0x3bc4c8     
func@0x50a40                                0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     func@0x50a40                              [Unknown]             0x50a40      
H5FD_sec2_get_eoa                           0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FD_sec2_get_eoa                         H5FDsec2.c            0x270d53     
H5S_get_simple_extent_npoints               0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S_get_simple_extent_npoints             H5S.c                 0x4b3fa5     
H5I_dec_ref                                 0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5I_dec_ref                               H5I.c                 0x341356     
H5O__msg_reset_real                         0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O__msg_reset_real                       H5Omessage.c          0x3eeb68     
H5SL_next                                   0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_next                                 H5SL.c                0x52c83c     
func@0x4caf0                                0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     func@0x4caf0                              [Unknown]             0x4caf0      
H5RS_dup                                    0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5RS_dup                                  H5RS.c                0x4b0798     
__strlen_sse2_pminub                        0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libc.so.6          __strlen_sse2_pminub                      [Unknown]             0x16f680     
H5FL_fac_free                               0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_fac_free                             H5FL.c                0x27a5b3     
NC_hashmapfree                              0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18    NC_hashmapfree                            [Unknown]             0x3b092      
H5B2__cache_leaf_deserialize                0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5B2__cache_leaf_deserialize              H5B2cache.c           0xaae8c      
H5SL_release_common                         0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_release_common                       H5SL.c                0x50df6b     
H5FD_read                                   0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FD_read                                 H5FDint.c             0x264dcb     
H5HF_op                                     0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5HF_op                                   H5HF.c                0x2d978b     
H5SL_new_node                               0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_new_node                             H5SL.c                0x5079a0     
H5FL_fac_malloc                             0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_fac_malloc                           H5FL.c                0x27a873     
H5G_loc_real                                0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5G_loc_real                              H5Gloc.c              0x2b4e34     
H5F_block_read                              0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5F_block_read                            H5Fio.c               0x221968     
H5MM__is_our_block                          0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5MM__is_our_block                        H5MM.c                0x37265b     
H5F_addr_decode_len                         0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5F_addr_decode_len                       H5Fint.c              0x21c6a6     
H5FO_top_decr                               0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FO_top_decr                             H5FO.c                0x27cdad     
__strdup                                    0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libc.so.6          __strdup                                  [Unknown]             0x8cae0      
H5G_name_reset                              0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5G_name_reset                            H5Gname.c             0x2baded     
H5S__all_release                            0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S__all_release                          H5Sall.c              0x4bc574     
__strncmp_sse42                             0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libc.so.6          __strncmp_sse42                           [Unknown]             0x13fb40     
H5O__chunk_deserialize                      0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O__chunk_deserialize                    H5Ocache.c            0x3a73bd     
H5FL__reg_gc_list                           0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL__reg_gc_list                         H5FL.c                0x2764cc     
H5T                                         0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5T(float, long double, ..., ...)         H5T.c                 0x556bc1     
H5MM__sanity_check                          0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5MM__sanity_check                        H5MM.c                0x37279a     
H5FD_sec2_read                              0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FD_sec2_read                            H5FDsec2.c            0x271162     
H5A__attr_iterate_table                     0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5A__attr_iterate_table                   H5Aint.c              0x83254      
H5SL_close_common                           0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_close_common                         H5SL.c                0x50e256     
H5I_get_type                                0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5I_get_type                              H5I.c                 0x33fe49     
H5HF__cache_hdr_deserialize                 0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5HF__cache_hdr_deserialize               H5HFcache.c           0x2e248f     
func@0x4db10                                0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     func@0x4db10                              [Unknown]             0x4db10      
H5Tget_native_type                          0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5Tget_native_type                        H5Tnative.c           0x663867     
H5HF__cache_dblock_notify                   0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5HF__cache_dblock_notify                 H5HFcache.c           0x2edddf     
close_vars                                  0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18    close_vars                                [Unknown]             0x89a94      
H5F_get_checksums                           0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5F_get_checksums                         H5Fio.c               0x222e3e     
H5D__chunk_set_info_real                    0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5D__chunk_set_info_real                  H5Dchunk.c            0x143735     
H5A__dense_btree2_name_compare              0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5A__dense_btree2_name_compare            H5Abtree2.c           0x6e7b9      
H5C__untag_entry                            0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5C__untag_entry                          H5Ctag.c              0x11f6c5     
H5O_msg_decode                              0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_msg_decode                            H5Omessage.c          0x3f3a10     
H5C__tag_entry                              0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5C__tag_entry                            H5Ctag.c              0x11f112     
H5I_object                                  0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5I_object                                H5I.c                 0x33f7e6     
