Function                              CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module           Function (Full)                       Source File        Start Address
H5P__dcrt_ext_file_list_close           0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5P__dcrt_ext_file_list_close         H5Pdcpl.c          0x420e65     
H5O_linfo_copy                          0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5O_linfo_copy                        H5Olinfo.c         0x3e7936     
H5AC_pin_protected_entry                0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5AC_pin_protected_entry              H5AC.c             0x8c198      
H5S__extent_release                     0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5S__extent_release                   H5S.c              0x4b2184     
H5S__extent_copy_real                   0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5S__extent_copy_real                 H5S.c              0x4b37a9     
H5P__set_pclass_cb                      0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5P__set_pclass_cb                    H5Pint.c           0x46ebc5     
H5O__attr_open_by_name                  0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5O__attr_open_by_name                H5Oattribute.c     0x398f8e     
H5HF_hdr_compute_free_space             0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5HF_hdr_compute_free_space           H5HFhdr.c          0x2f8ab8     
H5L_link_object                         0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5L_link_object                       H5L.c              0x3502d6     
H5O__alloc                              0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5O__alloc                            H5Oalloc.c         0x38ccc8     
H5T_close                               0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5T_close                             H5T.c              0x557445     
H5P__dup_prop                           0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5P__dup_prop                         H5Pint.c           0x46931a     
H5A__attr_release_table                 0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5A__attr_release_table               H5Aint.c           0x836e2      
H5A__create                             0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5A__create                           H5Aint.c           0x7ab09      
H5Aread                                 0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5Aread                               H5A.c              0x669de      
H5B2__cache_leaf_free_icr               0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5B2__cache_leaf_free_icr             H5B2cache.c        0xac260      
H5B2_open                               0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5B2_open                             H5B2.c             0xa0b26      
H5CX_push                               0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5CX_push                             H5CX.c             0x123b4f     
H5CX_set_tag                            0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5CX_set_tag                          H5CX.c             0x12b4b8     
H5C_get_cache_flush_in_progress         0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5C_get_cache_flush_in_progress       H5Cquery.c         0x11d3eb     
H5D__chunk_mem_alloc                    0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5D__chunk_mem_alloc                  H5Dchunk.c         0x14720c     
